name,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
BigHouse(Clone),87.5,0,12.5,0,180,0
BigHouse(Clone),123,0,12.5,0,90,0
BigHouse(Clone),177.5712,0,9.435822,0,270,0
BigHouse(Clone),113.2743,0.02540012,41.68594,0,90,0
BigHouse(Clone),35.59789,0.01831166,25.61803,0,180,0
BigHouse(Clone),89.35437,0,24.25079,0,270,0
BigHouse(Clone),130.9667,0.003,18.91241,0,0,0
BigHouse(Clone),225.1392,0,24.00973,0,90,0
BigHouse(Clone),21.12139,0.003,41.16808,0,270,0
BigHouse(Clone),129.0151,0.01831166,158.0765,0,0,0
BigHouse(Clone),37.08248,0.03662333,40.47081,0,270,0
BigHouse(Clone),75,0.03662333,37.5,0,90,0
BigHouse(Clone),185.1633,1.391108,123.2055,0,0,0
BigHouse(Clone),115.5505,0.3846682,49.63584,0,90,0
BigHouse(Clone),25,0.06225969,50,0,0,0
BigHouse(Clone),36.69098,0.2909733,50.58778,0,180,0
BigHouse(Clone),75,0.05493499,50,0,0,0
BigHouse(Clone),165.3659,0.6907358,82.29324,0,90,0
BigHouse(Clone),210.4926,0,52.22943,0,270,0
BigHouse(Clone),109.1839,1.348631,60.26323,0,180,0
BigHouse(Clone),124.7921,1.420513,63.47815,0,90,0
BigHouse(Clone),137.2907,1.633653,59.50731,0,0,0
BigHouse(Clone),137.7605,1.334389,105.0015,0,0,0
BigHouse(Clone),204.9628,0.3678338,164.2853,0,90,0
BigHouse(Clone),6.308071,0.003,76.76889,0,180,0
BigHouse(Clone),73.24651,0.4223343,78.59518,0,90,0
BigHouse(Clone),100,2.014284,75,0,90,0
BigHouse(Clone),134.5274,2.009689,72.32348,0,270,0
BigHouse(Clone),152.427,1.754796,76.76335,0,0,0
BigHouse(Clone),193.6266,0.003,73.81271,0,90,0
BigHouse(Clone),217.9221,0.1831166,156.8378,0,270,0
BigHouse(Clone),50,1.816517,87.5,0,270,0
BigHouse(Clone),125,2.098517,87.5,0,270,0
BigHouse(Clone),141.7129,1.768272,89.6632,0,0,0
BigHouse(Clone),75,1.904413,100,0,0,0
BigHouse(Clone),88,2.486681,100.866,0,180,0
BigHouse(Clone),75.49048,0.003,109.5656,0,270,0
BigHouse(Clone),114.3322,2.145893,112.7598,0,90,0
BigHouse(Clone),167.6612,0,128.8584,0,90,0
BigHouse(Clone),24.03874,0,124.7244,0,0,0
BigHouse(Clone),49.10395,0.512044,126.3677,0,180,0
BigHouse(Clone),151.4387,0,136.1107,0,180,0
BigHouse(Clone),174.0387,0.164805,137.7756,0,180,0
BigHouse(Clone),195.4901,0.7324666,103.3169,0,180,0
BigHouse(Clone),200,1.615088,137.5,0,180,0
BigHouse(Clone),114.6768,0.2092256,144.0912,0,0,0
BigHouse(Clone),162.5,0,150,0,270,0
BigHouse(Clone),24.02971,0,162.2581,0,180,0
BigHouse(Clone),151,0,160.7679,0,270,0
BigHouse(Clone),49.69098,0.10987,175.951,0,270,0
BigHouse(Clone),60.50122,0.1831166,174.9302,0,180,0
BigHouse(Clone),85.73411,0.01068395,175.9389,0,90,0
BigHouse(Clone),12.5,0,190.5,0,180,0
BigHouse(Clone),162.5,0.07324666,187.5,0,90,0
BigHouse(Clone),151.9696,0.1464933,200.3473,0,0,0
BigHouse(Clone),196.0389,0.6201674,199.4433,0,180,0
BigHouse(Clone),13.42718,0,212.1254,0,0,0
BigHouse(Clone),85.26323,0.5082085,215.8161,0,90,0
BigHouse(Clone),119.3983,0,216.2099,0,180,0
BigHouse(Clone),128.0675,0,231.2372,0,270,0
BigHouse(Clone),175.6691,0.7015411,225.7431,0,0,0
BigHouse(Clone),62.5,0.1574804,237.5,0,90,0
BigHouse(Clone),196.9358,1.42831,240.0712,0,180,0
OldHousePrefab(Clone),75.93969,0,12.84202,0,180,0
OldHousePrefab(Clone),188.9984,0,16.20874,0,180,0
OldHousePrefab(Clone),198.1206,0,13.18404,0,180,0
OldHousePrefab(Clone),121.5844,0.003,19.97904,0,180,0
OldHousePrefab(Clone),175.8135,0.01831166,23.17291,0,0,0
OldHousePrefab(Clone),211.1849,0,22.30362,0,0,0
OldHousePrefab(Clone),93.51594,0.09155832,38.90182,0,0,0
OldHousePrefab(Clone),53.3117,0.05493499,40.29618,0,90,0
OldHousePrefab(Clone),48.00487,0.3683259,49.86049,0,270,0
OldHousePrefab(Clone),101.1864,1.248979,62.00609,0,0,0
