name,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
BigHouse(Clone),12.5,0,0,0,180,0
BigHouse(Clone),25,0,0,0,90,0
BigHouse(Clone),38.61839,0,1.658075,0,180,0
BigHouse(Clone),87.5,0,0,0,90,0
BigHouse(Clone),100,0,0,0,270,0
BigHouse(Clone),162.7756,0,0.9612617,0,270,0
BigHouse(Clone),188.5598,0,-1.696097,0,180,0
BigHouse(Clone),251.627,0,-3.654182,0,270,0
BigHouse(Clone),87.91752,0,15.4708,0,90,0
BigHouse(Clone),100,0,12.5,0,0,0
BigHouse(Clone),135.5049,0,12.63951,0,270,0
BigHouse(Clone),265.0442,0,10.91024,0,180,0
BigHouse(Clone),11.38161,0,26.65808,0,90,0
BigHouse(Clone),138.5598,0,23.3039,0,270,0
BigHouse(Clone),151.8544,0,24.25079,0,270,0
BigHouse(Clone),187.8136,0,22.01643,0,90,0
BigHouse(Clone),199.212,0,24.38434,0,180,0
BigHouse(Clone),213.7313,0,23.42398,0,90,0
BigHouse(Clone),224.2508,0,23.14563,0,180,0
BigHouse(Clone),12.5,0.01831166,37.5,0,270,0
BigHouse(Clone),28.93923,0.01831166,36.8054,0,270,0
BigHouse(Clone),61.56031,0.03662333,37.84202,0,270,0
BigHouse(Clone),152.6488,0.2322732,38.90842,0,180,0
BigHouse(Clone),125,0.527376,50,0,270,0
BigHouse(Clone),188.4272,0,50.37461,0,90,0
BigHouse(Clone),86.58646,0.668394,62.09326,0,0,0
BigHouse(Clone),183.7412,0,61.13192,0,180,0
BigHouse(Clone),201.0261,0,59.68092,0,270,0
BigHouse(Clone),237.5,0,62.5,0,0,0
BigHouse(Clone),260.0729,0,60.73664,0,180,0
BigHouse(Clone),58.50974,1.139519,74.72097,0,180,0
BigHouse(Clone),124.4701,1.934465,74.15195,0,0,0
BigHouse(Clone),225.809,0.09155832,74.41222,0,0,0
BigHouse(Clone),233.7412,0,73.63192,0,180,0
BigHouse(Clone),249.5,0,74.13397,0,270,0
BigHouse(Clone),260.5195,0,74.72165,0,270,0
BigHouse(Clone),12.77903,0,83.50974,0,180,0
BigHouse(Clone),61.97008,1.553773,88.34805,0,270,0
BigHouse(Clone),102.0074,3.156498,85.27056,0,0,0
BigHouse(Clone),208.5,0.3293171,87.5,0,0,0
BigHouse(Clone),39.23205,1.074794,101,0,0,0
BigHouse(Clone),62.5,1.959348,100,0,270,0
BigHouse(Clone),112.3264,2.936997,99.01519,0,0,0
BigHouse(Clone),137.5,1.644387,100,0,90,0
BigHouse(Clone),148.1729,1.456688,100.8135,0,180,0
BigHouse(Clone),163.2492,0.9033946,98.14563,0,90,0
BigHouse(Clone),211.6012,0.4044292,99.56163,0,90,0
BigHouse(Clone),250.1392,0,100.9903,0,0,0
BigHouse(Clone),263.4976,0,99.93024,0,180,0
BigHouse(Clone),216.0952,0.4153646,110.7465,0,0,0
BigHouse(Clone),261.5152,0,112.6736,0,0,0
BigHouse(Clone),28.97809,0,125.4181,0,90,0
BigHouse(Clone),52.23677,1.017467,121.6839,0,270,0
BigHouse(Clone),148.2024,0,124.1233,0,270,0
BigHouse(Clone),189.1776,1.687509,122.5129,0,180,0
BigHouse(Clone),236,0,122.4019,0,270,0
BigHouse(Clone),109.0359,0.4689246,139.5,0,0,0
BigHouse(Clone),138.6026,0,133.655,0,270,0
BigHouse(Clone),236.816,0,135.6206,0,180,0
BigHouse(Clone),12.22165,0,151.9805,0,90,0
BigHouse(Clone),35.64563,0,150.7492,0,180,0
BigHouse(Clone),87.29073,0.7123152,152.9927,0,270,0
BigHouse(Clone),100.9945,0.4591761,150.1045,0,0,0
BigHouse(Clone),165.4344,0,149.3763,0,180,0
BigHouse(Clone),215.5642,0.6274092,147.4288,0,0,0
BigHouse(Clone),234.9288,0,153.0642,0,0,0
BigHouse(Clone),262.5,0,150,0,270,0
BigHouse(Clone),10.8039,0,163.5598,0,270,0
BigHouse(Clone),21.76393,0,164.8511,0,90,0
BigHouse(Clone),86.18488,0.1464933,165.1964,0,180,0
BigHouse(Clone),99.03231,0.1987063,158.6188,0,180,0
BigHouse(Clone),121.5359,0.07324666,164.5,0,180,0
BigHouse(Clone),140.3191,0,161.4739,0,270,0
BigHouse(Clone),175.7258,0.4577916,165.4109,0,270,0
BigHouse(Clone),234.348,0,164.9626,0,180,0
BigHouse(Clone),262.2907,0,165.4927,0,270,0
BigHouse(Clone),51.23607,0.09155832,178.8042,0,90,0
BigHouse(Clone),61.97906,0.1831166,172.0456,0,180,0
BigHouse(Clone),187.5,0.3918701,175,0,180,0
BigHouse(Clone),197.636,0.3868105,176.847,0,90,0
BigHouse(Clone),12.5349,0,186.5006,0,270,0
BigHouse(Clone),52.48711,0.1671599,185.8224,0,90,0
BigHouse(Clone),199.4122,0.6882409,188.309,0,180,0
BigHouse(Clone),253.5952,0,185.7465,0,270,0
BigHouse(Clone),12.84202,0,199.0603,0,90,0
BigHouse(Clone),76.92252,0.9045296,199.4487,0,0,0
BigHouse(Clone),112.5,0.1611424,200,0,0,0
BigHouse(Clone),126.6776,0.01831166,202.4871,0,270,0
BigHouse(Clone),10.55941,0,212.0162,0,0,0
BigHouse(Clone),123.0979,0,211.882,0,180,0
BigHouse(Clone),150,0.1281817,212.5,0,180,0
BigHouse(Clone),173.3039,0.4761496,213.5598,0,270,0
BigHouse(Clone),250.8135,0,210.6729,0,0,0
BigHouse(Clone),62.77903,0.6649629,228.9902,0,270,0
BigHouse(Clone),72.22137,0.7093976,227.8774,0,270,0
BigHouse(Clone),125.9613,0,225.2756,0,90,0
BigHouse(Clone),186.9433,1.514737,221.0389,0,0,0
BigHouse(Clone),238.5,1.249002,226.7321,0,180,0
BigHouse(Clone),147.7706,0,239.5074,0,90,0
BigHouse(Clone),200.927,1.902284,234.6468,0,270,0
BigHouse(Clone),237.7419,0.7311192,238.4703,0,90,0
BigHouse(Clone),260.5437,0.1281817,237.0842,0,90,0
BigHouse(Clone),62.5,0.01831166,250,0,90,0
BigHouse(Clone),100.8316,0.7415634,246.0874,0,180,0
BigHouse(Clone),126.5898,0,252.5441,0,270,0
BigHouse(Clone),151.0598,0,251.6961,0,90,0
BigHouse(Clone),229,0.5494963,250,0,270,0
BigHouse(Clone),237.5,0.3405971,250,0,0,0
OldHousePrefab(Clone),25.97029,0,-0.2419219,0,270,0
OldHousePrefab(Clone),60.50122,0,0.06979895,0,90,0
OldHousePrefab(Clone),84.95586,0,-1.589758,0,270,0
OldHousePrefab(Clone),136.1849,0,-2.696383,0,270,0
OldHousePrefab(Clone),150.4695,0,0.882948,0,90,0
OldHousePrefab(Clone),189.4951,0,0.1395133,0,270,0
OldHousePrefab(Clone),262.5,0,0,0,180,0
OldHousePrefab(Clone),100.9945,0,12.39547,0,270,0
OldHousePrefab(Clone),175.3473,0,10.53038,0,0,0
OldHousePrefab(Clone),183.9048,0,10.74652,0,90,0
OldHousePrefab(Clone),225.9976,0,12.43024,0,270,0
OldHousePrefab(Clone),12.5,0,25,0,90,0
OldHousePrefab(Clone),21.76393,0,22.64886,0,270,0
OldHousePrefab(Clone),111.5,0,23.26795,0,270,0
OldHousePrefab(Clone),138.4903,0,24.86083,0,180,0
OldHousePrefab(Clone),214,0,27.59808,0,270,0
OldHousePrefab(Clone),239.8511,0,21.76393,0,180,0
OldHousePrefab(Clone),27.93444,0.01831166,36.87627,0,180,0
OldHousePrefab(Clone),37.5,0.03662333,37.5,0,180,0
OldHousePrefab(Clone),225,0,37.5,0,0,0
OldHousePrefab(Clone),123.5,0.7184504,52.59808,0,90,0
OldHousePrefab(Clone),150.2093,1.181634,52.99269,0,90,0
OldHousePrefab(Clone),208.5024,0,49.8604,0,180,0
OldHousePrefab(Clone),223.8244,0,51.61803,0,180,0
OldHousePrefab(Clone),262.5349,0,49.00061,0,180,0
OldHousePrefab(Clone),51.98054,1.043765,62.22165,0,90,0
OldHousePrefab(Clone),87.5,0.7581028,62.5,0,180,0
OldHousePrefab(Clone),124.2508,1.471015,64.35437,0,90,0
OldHousePrefab(Clone),162.5,0.5530136,62.5,0,180,0
OldHousePrefab(Clone),186.3974,0,58.65495,0,90,0
OldHousePrefab(Clone),237.5,0,62.5,0,0,0
OldHousePrefab(Clone),113.9863,2.810782,88.83826,0,270,0
OldHousePrefab(Clone),153.8042,1.708066,88.73607,0,90,0
OldHousePrefab(Clone),139.5074,1.652337,97.77056,0,270,0
OldHousePrefab(Clone),187.8746,0.7086406,100.9272,0,180,0
OldHousePrefab(Clone),226.1756,0.164805,101.618,0,180,0
OldHousePrefab(Clone),212.7419,0.8070891,113.4703,0,90,0
OldHousePrefab(Clone),37.84202,0.10987,125.9397,0,90,0
OldHousePrefab(Clone),50.30902,0.7146494,124.0489,0,270,0
OldHousePrefab(Clone),62.5,1.336751,125,0,180,0
OldHousePrefab(Clone),183.5608,1.215434,125.6946,0,0,0
OldHousePrefab(Clone),196.0098,1.773604,125.279,0,90,0
OldHousePrefab(Clone),112.6736,0.3966534,136.5152,0,270,0
OldHousePrefab(Clone),214.5074,0.9591237,139.7294,0,270,0
OldHousePrefab(Clone),249.8955,0,136.5055,0,0,0
OldHousePrefab(Clone),99.59326,0.4570973,150.9135,0,180,0
OldHousePrefab(Clone),212.0305,0.6365405,150.8829,0,0,0
OldHousePrefab(Clone),234.5274,0,147.3235,0,90,0
OldHousePrefab(Clone),36.94872,0,160.5775,0,0,0
OldHousePrefab(Clone),122.636,0.05493499,160.653,0,180,0
OldHousePrefab(Clone),137.5,0,162.5,0,270,0
OldHousePrefab(Clone),225,0,162.5,0,90,0
OldHousePrefab(Clone),9.718449,0,173.8762,0,90,0
OldHousePrefab(Clone),25.86603,0,175.5,0,180,0
OldHousePrefab(Clone),37.5,0,175,0,90,0
OldHousePrefab(Clone),141.4976,0,175.1396,0,270,0
OldHousePrefab(Clone),148.6319,0,171.2412,0,270,0
OldHousePrefab(Clone),51.7659,0.1831166,186.5611,0,180,0
OldHousePrefab(Clone),85.5437,0.2380516,187.0842,0,90,0
OldHousePrefab(Clone),124.3309,0.1262104,188.2431,0,270,0
OldHousePrefab(Clone),26.65808,0,198.8816,0,270,0
OldHousePrefab(Clone),38.26604,0.2997411,200.6428,0,270,0
OldHousePrefab(Clone),100.5592,0.1464933,200.829,0,0,0
OldHousePrefab(Clone),149,0.1464933,200,0,90,0
OldHousePrefab(Clone),222.1162,2.543134,200.8269,0,90,0
OldHousePrefab(Clone),62.5,1.629738,212.5,0,90,0
OldHousePrefab(Clone),77.85317,0.9762059,213.427,0,180,0
OldHousePrefab(Clone),97.40192,0.05084857,211,0,180,0
OldHousePrefab(Clone),159.9019,0.2014283,214,0,90,0
OldHousePrefab(Clone),121.2913,0.07674436,226.4984,0,90,0
OldHousePrefab(Clone),135.5,0.05493499,221.5359,0,90,0
OldHousePrefab(Clone),163.4397,0.2563633,224.658,0,90,0
OldHousePrefab(Clone),202,2.664331,221.5359,0,90,0
OldHousePrefab(Clone),12.5,0,237.5,0,90,0
OldHousePrefab(Clone),26.05984,0,235.8039,0,270,0
OldHousePrefab(Clone),200,1.670024,237.5,0,90,0
OldHousePrefab(Clone),9.263933,0,247.6489,0,180,0
OldHousePrefab(Clone),39.42252,0,250.5513,0,0,0
OldHousePrefab(Clone),75.96127,0.2692152,249.7244,0,270,0
OldHousePrefab(Clone),100.1045,0.678205,249.0055,0,270,0
OldHousePrefab(Clone),213.7313,0.6737981,248.424,0,90,0
Farm Tree Variant(Clone),15,0,15,0,0,0
Farm Tree Variant(Clone),30,0,15,0,0,0
Tree 2(Clone),60,0,15,0,0,0
Tree(Clone),90,0,15,0,0,0
Tree 2(Clone),120,0,15,0,0,0
Tree(Clone),240,0,15,0,0,0
Tree 2(Clone),45,0.01831166,30,0,0,0
Tree 2(Clone),60,0.03662333,30,0,0,0
Tree(Clone),105,0,30,0,0,0
Farm Tree Variant(Clone),120,0,30,0,0,0
Tree 2(Clone),180,0,30,0,0,0
Farm Tree Variant(Clone),195,0,30,0,0,0
Tree 2(Clone),210,0,30,0,0,0
Tree 2(Clone),45,0.1127999,45,0,0,0
Farm Tree Variant(Clone),105,0.1311116,45,0,0,0
Farm Tree Variant(Clone),165,0.2607579,45,0,0,0
Tree 2(Clone),180,0,45,0,0,0
Tree 2(Clone),195,0,45,0,0,0
Farm Tree Variant(Clone),225,0,45,0,0,0
Tree 2(Clone),240,0,45,0,0,0
Tree(Clone),30,0.587438,60,0,0,0
Farm Tree Variant(Clone),165,0.4460714,60,0,0,0
Tree(Clone),195,0,60,0,0,0
Tree(Clone),30,0.7295366,75,0,0,0
Tree(Clone),90,1.462004,75,0,0,0
Farm Tree Variant(Clone),120,2.162241,75,0,0,0
Farm Tree Variant(Clone),150,1.838491,75,0,0,0
Tree 2(Clone),195,0,75,0,0,0
Tree 2(Clone),30,0.3684305,90,0,0,0
Tree 2(Clone),60,1.715437,90,0,0,0
Tree 2(Clone),75,1.10749,90,0,0,0
Tree(Clone),90,2.305805,90,0,0,0
Tree(Clone),135,1.685405,90,0,0,0
Tree 2(Clone),165,0.8232917,90,0,0,0
Tree(Clone),210,0.3479216,90,0,0,0
Tree(Clone),225,0.1772568,90,0,0,0
Tree 2(Clone),240,0,90,0,0,0
Farm Tree Variant(Clone),30,0.3164256,105,0,0,0
Tree(Clone),45,1.457609,105,0,0,0
Tree(Clone),60,2.118293,105,0,0,0
Farm Tree Variant(Clone),105,3.2397,105,0,0,0
Farm Tree Variant(Clone),135,1.448086,105,0,0,0
Tree(Clone),165,0.8401395,105,0,0,0
Tree(Clone),180,0.7419899,105,0,0,0
Tree 2(Clone),45,0.6445711,120,0,0,0
Tree(Clone),75,2.368797,120,0,0,0
Tree 2(Clone),105,2.015749,120,0,0,0
Tree(Clone),120,1.070866,120,0,0,0
Tree(Clone),150,0,120,0,0,0
Tree(Clone),165,0,120,0,0,0
Tree 2(Clone),210,1.166087,120,0,0,0
Farm Tree Variant(Clone),30,0,135,0,0,0
Farm Tree Variant(Clone),45,0.07910652,135,0,0,0
Tree 2(Clone),75,1.577733,135,0,0,0
Tree 2(Clone),105,0.8943422,135,0,0,0
Farm Tree Variant(Clone),150,0,135,0,0,0
Farm Tree Variant(Clone),165,0,135,0,0,0
Tree(Clone),210,1.307453,135,0,0,0
Tree(Clone),225,0.1831166,135,0,0,0
Farm Tree Variant(Clone),75,0.9045961,150,0,0,0
Tree 2(Clone),195,1.141915,150,0,0,0
Tree(Clone),240,0,150,0,0,0
Farm Tree Variant(Clone),45,0.01684698,165,0,0,0
Tree(Clone),195,0.50467,165,0,0,0
Tree(Clone),210,0.274675,165,0,0,0
Farm Tree Variant(Clone),240,0,165,0,0,0
Farm Tree Variant(Clone),15,0,180,0,0,0
Tree(Clone),30,0,180,0,0,0
Farm Tree Variant(Clone),75,0.1831166,180,0,0,0
Tree 2(Clone),105,0.32961,180,0,0,0
Farm Tree Variant(Clone),120,0.3340048,180,0,0,0
Tree 2(Clone),150,0.09155832,180,0,0,0
Tree 2(Clone),180,0.09155832,180,0,0,0
Tree(Clone),225,0.7676257,180,0,0,0
Tree 2(Clone),240,0.05933073,180,0,0,0
HedgeSmall(Clone),125,0,25,0,0,0
HedgeSmall(Clone),50,0.3442594,50,0,0,0
HedgeLongRound(Clone),75,0.05493499,50,0,0,0
HedgeLongRound(Clone),100,0.3479218,50,0,0,0
HedgeSmall(Clone),225,0,50,0,0,0
HedgeSmall(Clone),50,1.252518,75,0,0,0
HedgeSmall(Clone),75,0.3882075,75,0,0,0
HedgeLongRound(Clone),100,2.014284,75,0,0,0
HedgeLongRound(Clone),25,0.05493499,100,0,0,0
HedgeLongRound(Clone),50,1.670024,100,0,0,0
HedgeSmall(Clone),125,2.153451,100,0,0,0
HedgeLongRound(Clone),225,0.164805,100,0,0,0
HedgeLongRound(Clone),175,0.3039732,125,0,0,0
HedgeLongRound(Clone),200,1.776231,125,0,0,0
HedgeLongRound(Clone),50,0.1135325,150,0,0,0
HedgeLongRound(Clone),125,0,150,0,0,0
HedgeLongRound(Clone),75,0.2600259,175,0,0,0
HedgeSmall(Clone),100,0.2966492,175,0,0,0
HedgeLongRound(Clone),175,0.1831166,175,0,0,0
HedgeSmall(Clone),225,0.3369345,175,0,0,0
HedgeLongRound(Clone),50,1.179271,200,0,0,0
HedgeSmall(Clone),175,0.04761044,200,0,0,0
HedgeSmall(Clone),225,2.35488,200,0,0,0
HedgeSmall(Clone),100,0.7178172,225,0,0,0
Wall 1(Clone),106.6473,1.74,6.217737,0,103.5134,4.530492
Wall 1(Clone),178.8236,1.74,4.177144,-4.585698E-08,359.6802,2.173738
Wall 1(Clone),81.93376,1.74,7.580402,0,270.8914,0.8459046
Wall 1(Clone),179.7092,1.74,16.36148,-3.201651E-07,311.2189,4.293194
Wall 1(Clone),68.01004,3.293773,94.32903,-1.067217E-07,92.62838,357.3173
Wall 1(Clone),205.6756,2.144429,89.13582,-2.668043E-08,270.1229,0.8469217
Wall 1(Clone),227.2817,1.74,139.075,8.004128E-08,338.9617,358.0779
Wall 1(Clone),229.1851,2.367409,141.3897,5.252709E-08,180.7065,2.098499
Wall 1(Clone),268.1704,1.74,157.9013,-2.668043E-08,87.11286,0.8429865
